Access From [JDUT1],Access Duration [s],POI index,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2458563.028284674,0.014081597,2,9275.203534287022,43.36867749017592,49.66623468338986,84.45250059748197,True
2458563.161464412,0.014081597,3,2115.5587133100403,62.30241979403839,79.38093811814792,nan,True
2458562.684787627,0.014081597,4,4762.5935363532235,61.5462920599985,77.41978765376003,nan,True
2458562.817970392,0.013075769,5,9227.002764489145,43.620789941464004,49.98001486296402,nan,True
2458562.513038427,0.014081597,8,9302.371422334563,43.22529436013608,49.50353579395064,nan,True
2458563.2000327082,0.014081597,10,12518.95697007044,20.398912733215532,22.769062648471202,nan,True
2458563.333215007,0.014081597,11,9213.090864522304,43.69227031944887,50.087436424016275,nan,True
2458562.856539713,0.014081597,12,4768.789983822449,61.514010415323106,77.40242457729504,71.17580636518954,True
2458562.989716808,0.013075769,13,2136.8505054122998,62.35981030524782,79.6249256792895,85.73993250325601,True
2458563.021083997,0.014081597,18,6414.575574336904,56.15023937496077,67.20832885212569,nan,True
2458562.746227276,0.014081597,21,11154.859300011027,32.05196722634232,36.09349444361054,nan,True
2458563.237452627,0.014081597,22,12814.190438369173,16.865450205187784,18.78825221124757,83.16341468832236,True
2458562.471371322,0.014081597,24,11708.559896512712,27.890883315784045,31.28410519155912,nan,True
2458562.378423769,0.014081597,26,11711.556985056952,27.874627320737712,31.273460974088948,75.15646762246156,True
2458562.928133671,0.014081597,31,7709.232628550093,50.873013023222605,59.467149326163394,89.8780370228776,True
2458563.330406539,0.014081597,31,7841.523886046594,50.28820410297264,58.6679685847164,nan,True
2458562.653279103,0.013075769,34,813.4192126716183,28.409055889096685,31.887627350416818,nan,True
2458562.399907242,0.014081597,36,7162.605460115052,53.202875464811584,62.73749753389622,nan,True
2458562.8278106772,0.013075769,38,880.2682127127637,34.85582497363395,39.379814163818764,47.25489982206958,True
2458563.0871015172,0.013075769,41,6204.383482757567,56.927238666857576,68.47056534445287,nan,True
2458562.44988898,0.014081597,52,7166.594609042745,53.18102504442746,62.72735761874336,nan,True
2458562.7091729282,0.014081597,55,12795.398803908975,17.127561690085688,19.08671046704488,nan,True
2458563.137083372,0.014081597,57,11466.131724864932,29.78743195652761,33.47542745914874,nan,True
2458562.693061285,0.014081597,73,6273.712951643631,56.67050118364255,68.0595624977785,nan,True
2458562.809534405,0.014081597,80,7798.754378362628,50.48266454429845,58.911760788940185,nan,True
2458563.24281688,0.014081597,82,11015.77798276507,33.019654807219375,37.22614518845854,81.0058449653487,True
2458562.7064825282,0.014081597,92,12112.98359118357,24.4361909146942,27.343347015435253,nan,True
2458563.139773725,0.014081597,94,11009.491652979537,33.064439165804714,37.28228947264754,nan,True
2458562.590018214,0.013075769,105,2836.038892158844,64.1557115894443,87.7449600254485,nan,True
2458562.463250176,0.013075769,129,5968.811448727777,57.76846006993188,69.89503950127909,nan,True
2458562.386547596,0.014081597,131,5973.420836661958,57.74818121345901,69.87455820022535,nan,True
2458562.7988312272,0.013075769,144,6857.038560493467,54.43569513222996,64.57348187509444,86.48547260454858,True
2458562.6614035,0.014081597,147,7300.5031451262985,52.62638968972558,61.920997023700096,nan,True
2458562.523975634,0.013075769,150,1987.7262145142845,61.54171421058755,77.4434744152518,nan,True
2458563.179451357,0.013075769,170,10091.926744763854,38.84984887735772,44.141665842368006,89.90963442724393,True
2458562.83854599,0.013075769,178,5856.457282699621,58.153958489565454,70.58644406200565,70.29992371094728,True
2458562.632367519,0.014081597,183,9632.286295144777,41.453159291771755,47.30798863623648,78.67268065631853,True
2458562.801530439,0.014081597,191,6668.4595814824825,55.17717526905599,65.69783174193215,nan,True
2458562.595351933,0.014081597,196,7389.111100185059,52.2543070858302,61.3872563044757,nan,True
