POI,lat[deg],lon[deg]
0,90,0
1,-90,0
2,85.5,-180
3,85.5,-120
4,85.5,-60
5,85.5,0
6,85.5,60
7,85.5,120
8,-85.5,-180
9,-85.5,-120
10,-85.5,-60
11,-85.5,0
12,-85.5,60
13,-85.5,120
14,81,-180
15,81,-150
16,81,-120
17,81,-90
18,81,-60
19,81,-30
20,81,0
21,81,30
22,81,60
23,81,90
24,81,120
25,81,150
26,-81,-180
27,-81,-150
28,-81,-120
29,-81,-90
30,-81,-60
31,-81,-30
32,-81,0
33,-81,30
34,-81,60
35,-81,90
36,-81,120
37,-81,150
38,76.5,-180
39,76.5,-160
40,76.5,-140
41,76.5,-120
42,76.5,-100
43,76.5,-80
44,76.5,-60
45,76.5,-40
46,76.5,-20
47,76.5,0
48,76.5,20
49,76.5,40
50,76.5,60
51,76.5,80
52,76.5,100
53,76.5,120
54,76.5,140
55,76.5,160
56,-76.5,-180
57,-76.5,-160
58,-76.5,-140
59,-76.5,-120
60,-76.5,-100
61,-76.5,-80
62,-76.5,-60
63,-76.5,-40
64,-76.5,-20
65,-76.5,0
66,-76.5,20
67,-76.5,40
68,-76.5,60
69,-76.5,80
70,-76.5,100
71,-76.5,120
72,-76.5,140
73,-76.5,160
74,72,-180
75,72,-165
76,72,-150
77,72,-135
78,72,-120
79,72,-105
80,72,-90
81,72,-75
82,72,-60
83,72,-45
84,72,-30
85,72,-15
86,72,0
87,72,15
88,72,30
89,72,45
90,72,60
91,72,75
92,72,90
93,72,105
94,72,120
95,72,135
96,72,150
97,72,165
98,-72,-180
99,-72,-165
100,-72,-150
101,-72,-135
102,-72,-120
103,-72,-105
104,-72,-90
105,-72,-75
106,-72,-60
107,-72,-45
108,-72,-30
109,-72,-15
110,-72,0
111,-72,15
112,-72,30
113,-72,45
114,-72,60
115,-72,75
116,-72,90
117,-72,105
118,-72,120
119,-72,135
120,-72,150
121,-72,165
122,67.5,-180
123,67.5,-168
124,67.5,-156
125,67.5,-144
126,67.5,-132
127,67.5,-120
128,67.5,-108
129,67.5,-96
130,67.5,-84
131,67.5,-72
132,67.5,-60
133,67.5,-48
134,67.5,-36
135,67.5,-24
136,67.5,-12
137,67.5,-2.54444e-14
138,67.5,12
139,67.5,24
140,67.5,36
141,67.5,48
142,67.5,60
