POI,lat[deg],lon[deg]
0,90,0
1,-90,0
2,88.5714,0
3,88.5714,60
4,88.5714,120
5,88.5714,180
6,88.5714,240
7,88.5714,300
8,-88.5714,0
9,-88.5714,60
10,-88.5714,120
11,-88.5714,180
12,-88.5714,240
13,-88.5714,300
14,87.1429,0
15,87.1429,30
16,87.1429,60
17,87.1429,90
18,87.1429,120
19,87.1429,150
20,87.1429,180
21,87.1429,210
22,87.1429,240
23,87.1429,270
24,87.1429,300
25,87.1429,330
26,-87.1429,0
27,-87.1429,30
28,-87.1429,60
29,-87.1429,90
30,-87.1429,120
31,-87.1429,150
32,-87.1429,180
33,-87.1429,210
34,-87.1429,240
35,-87.1429,270
36,-87.1429,300
37,-87.1429,330
38,85.7143,0
39,85.7143,18.9474
40,85.7143,37.8947
41,85.7143,56.8421
42,85.7143,75.7895
43,85.7143,94.7368
44,85.7143,113.684
45,85.7143,132.632
46,85.7143,151.579
47,85.7143,170.526
48,85.7143,189.474
49,85.7143,208.421
50,85.7143,227.368
51,85.7143,246.316
52,85.7143,265.263
53,85.7143,284.211
54,85.7143,303.158
55,85.7143,322.105
56,85.7143,341.053
57,-85.7143,0
58,-85.7143,18.9474
59,-85.7143,37.8947
60,-85.7143,56.8421
61,-85.7143,75.7895
62,-85.7143,94.7368
63,-85.7143,113.684
64,-85.7143,132.632
65,-85.7143,151.579
66,-85.7143,170.526
67,-85.7143,189.474
68,-85.7143,208.421
69,-85.7143,227.368
70,-85.7143,246.316
71,-85.7143,265.263
72,-85.7143,284.211
73,-85.7143,303.158
74,-85.7143,322.105
75,-85.7143,341.053
76,84.2857,0
77,84.2857,14.4
78,84.2857,28.8
79,84.2857,43.2
80,84.2857,57.6
81,84.2857,72
82,84.2857,86.4
83,84.2857,100.8
84,84.2857,115.2
85,84.2857,129.6
86,84.2857,144
87,84.2857,158.4
88,84.2857,172.8
89,84.2857,187.2
90,84.2857,201.6
91,84.2857,216
92,84.2857,230.4
93,84.2857,244.8
94,84.2857,259.2
95,84.2857,273.6
96,84.2857,288
97,84.2857,302.4
98,84.2857,316.8
99,84.2857,331.2
100,84.2857,345.6
101,-84.2857,0
102,-84.2857,14.4
103,-84.2857,28.8
104,-84.2857,43.2
105,-84.2857,57.6
106,-84.2857,72
107,-84.2857,86.4
