POI index,Gaps [Days],Max Coverage Gap [Days],Mean Coverage Gap [Days],Time Average Gap [Days],Percentage Coverage
0,"[0.01374526 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526 0.01374526
 0.01374525 0.01374526 0.01374525 0.01374526 0.01374526 0.01374526
 0.01374526 0.01374527 0.01374526 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526 0.01374527
 0.01374526 0.01374526 0.01374526 0.01374526 0.01374526 0.01374526
 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526 0.01374525
 0.01374526 0.01374525 0.01374526 0.01374526 0.01374525 0.01374526
 0.01374527 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374526 0.01374527 0.01374526
 0.01374526 0.01374525 0.01374526 0.01374525 0.01374526 0.01374526
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374526 0.01374525 0.01374526
 0.01374525 0.01374526 0.01374526 0.01374525 0.01374526 0.01374527
 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374526 0.01374527 0.01374526 0.01374526
 0.01374525 0.01374526 0.01374525 0.01374526 0.01374526 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374526 0.01374525 0.01374526 0.01374526
 0.01374526 0.01374526 0.01374525 0.01374526 0.01374526 0.01374526
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374526 0.01374526 0.01374526
 0.01374526 0.01374526 0.01374526 0.01374526 0.01374527 0.01374526
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374526 0.01374527 0.01374526 0.01374525 0.01374526
 0.01374526 0.01374525 0.01374526 0.01374525 0.01374526 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374526 0.01374526 0.01374525 0.01374526
 0.01374526 0.01374526 0.01374526 0.01374527 0.01374526 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374526 0.01374527 0.01374526 0.01374526 0.01374525 0.01374526
 0.01374525 0.01374526 0.01374526 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374526 0.01374525 0.01374526 0.01374525 0.01374526 0.01374526
 0.01374525 0.01374526 0.01374527 0.01374526 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526
 0.01374527 0.01374526 0.01374526 0.01374525 0.01374526 0.01374526
 0.01374526 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526
 0.01374525 0.01374526 0.01374525 0.01374526 0.01374526 0.01374526
 0.01374526 0.01374525 0.01374526 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374526 0.01374526 0.01374525 0.01374526 0.01374525 0.01374526
 0.01374526 0.01374527 0.01374526 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526 0.01374527
 0.01374526 0.01374525 0.01374526 0.01374526 0.01374525 0.01374526
 0.01374526 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526
 0.01374526 0.01374525 0.01374526 0.01374525 0.01374526 0.01374526
 0.01374527 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374526 0.01374527 0.01374526
 0.01374525 0.01374526 0.01374526 0.01374525 0.01374526 0.01374525
 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526 0.01374526
 0.01374525 0.01374526 0.01374525 0.01374526 0.01374526 0.01374527
 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527 0.01374527 0.01374526 0.01374525
 0.01374526 0.01374526 0.01374525 0.01374526 0.01374525 0.01374526
 0.01374526 0.01374527 0.01374527 0.01374527 0.01374527 0.01374527
 0.01374527 0.01374527 0.01374527]",0.013745269272476435,0.013745262296536819,0.013716480304605677,0.00029010698199259216
2,"[0.05499232 0.01375868 0.04125422 0.01370522 0.05498079 0.0137872
 0.04121488 0.01373374 0.05496926 0.05551717 0.01323615 0.0417148
 0.01378094 0.05498336 0.01369902 0.04126289 0.01375232 0.05499484
 0.05497334 0.01372354 0.04122885 0.01377714 0.0549849  0.05445606
 0.01425585 0.05445181 0.05498769 0.01377022 0.0412384  0.01371662
 0.05497615 0.05499761 0.01374533 0.05496469 0.05498615 0.01377405
 0.04171533 0.01323822 0.05551926 0.05496649 0.01374071 0.04120535
 0.01379399 0.05497799 0.01371207 0.04124469 0.01376565 0.05498955
 0.05496803 0.01373686 0.04075947 0.01424139 0.0544414  0.01424642
 0.04075781 0.01372812 0.0549715  0.05499302 0.01375691 0.04125662
 0.0137035  0.0549815  0.01378547 0.04121728 0.01373197 0.05496996
 0.05551654 0.01323573 0.04171457 0.01378268 0.05498264 0.01370074
 0.04126049 0.01375408 0.05499415 0.05497264 0.0137253  0.04122644
 0.01377888 0.0549842  0.01369699 0.04076022 0.01425575 0.05445086
 0.05498842 0.01376847 0.04124081 0.01371488 0.05497685 0.05499828
 0.01374356 0.05496539 0.05498686 0.01377231 0.04171537 0.01323885
 0.05551968 0.05496581 0.0137425  0.05499871 0.05497729 0.01371382
 0.04124228 0.0137674  0.05498884 0.05496733 0.01373863 0.04075992
 0.01424026 0.05444154 0.01424731 0.0407576  0.01372637 0.05497221
 0.05499373 0.01375515 0.04125903 0.01370178 0.05498221 0.01378373
 0.04121969 0.01373021 0.05497067 0.05551584 0.01323537 0.04171429
 0.01378441 0.05498193 0.01370245 0.04125809 0.01375585 0.05499345
 0.05497193 0.01372706 0.04122402 0.01378062 0.05498348 0.01369869
 0.04075973 0.01425558 0.05444994 0.05498912 0.01376672]",0.055519682355225086,0.03469984596139276,0.04446373864409457,0.00011455267667777808
3,"[0.0549885  0.01376825 0.04171529 0.01324048 0.05552046 0.05496419
 0.01374657 0.05499711 0.05497565 0.01371786 0.04123669 0.01377145
 0.05498721 0.05496572 0.01374271 0.05499862 0.05444204 0.01424919
 0.04075725 0.01372231 0.05497385 0.05499534 0.01375107 0.04126459
 0.01369781 0.05498386 0.01377972 0.04122528 0.01372615 0.0549723
 0.05551407 0.01323467 0.04171348 0.01378841 0.0549803  0.01370645
 0.04125252 0.01375993 0.05499183 0.0549703  0.01373112 0.04121843
 0.01378464 0.05498185 0.01370267 0.04075878 0.01425507 0.054448
 0.05499075 0.01376265 0.0412488  0.01370911 0.05497921 0.01379106
 0.04120945 0.01373771 0.05496769 0.0549892  0.01376649 0.04171519
 0.01324125 0.05552073 0.01325174 0.04171173 0.01374834 0.05499641
 0.05497494 0.0137196  0.04123428 0.01377321 0.0549865  0.05496501
 0.01374447 0.05499793 0.05444233 0.01424994 0.04075718 0.01372056
 0.05497455 0.05499603 0.0137493  0.04126699 0.01369611 0.05498455
 0.01377798 0.04122769 0.01372439 0.054973   0.05551323 0.01323444
 0.04171306 0.01379013 0.05497958 0.01370817 0.0412501  0.01376169
 0.05499113 0.0549696  0.01373289 0.04121603 0.01378636 0.05498114
 0.0137044  0.04075844 0.01425478 0.05444724 0.05499146 0.01376088
 0.04125121 0.01370739 0.05497991 0.01378934 0.04121186 0.01373594
 0.05496839 0.05498991 0.01376474 0.04171504 0.01324207 0.05552094
 0.01325053 0.04171226 0.01375011 0.05499572 0.05497422 0.01372135
 0.04123187 0.01377496 0.05498579 0.05496433 0.01374624 0.05499723
 0.05444267 0.01425064 0.04075715 0.01371881 0.05497526 0.05499673
 0.01374754 0.05496383 0.05498527]",0.055520940106362104,0.035094383853018704,0.04467676330274779,0.00011106021702407435
4,"[0.01323409 0.04171195 0.0137941  0.05497794 0.01371219 0.04124454
 0.01376575 0.0549895  0.05496799 0.01373697 0.04121048 0.01379035
 0.0549795  0.01370839 0.04075779 0.01425393 0.05444564 0.05499307
 0.01375681 0.04125677 0.01370338 0.05498155 0.01378536 0.04121743
 0.01373187 0.05497001 0.05499154 0.01376066 0.04171454 0.01324413
 0.05552125 0.01324787 0.04171332 0.01375419 0.05499411 0.0549726
 0.01372542 0.04122628 0.01377899 0.05498416 0.0136971  0.04126559
 0.01375032 0.05499564 0.05444363 0.01425209 0.04075722 0.01371476
 0.05497689 0.05499834 0.01374345 0.05496543 0.05498691 0.01377219
 0.04123568 0.01371859 0.05497534 0.05551011 0.01323401 0.05550726
 0.05497724 0.01371392 0.04124212 0.01376751 0.05498879 0.05496728
 0.01373874 0.04120807 0.01379207 0.05497879 0.01371012 0.04075759
 0.01425349 0.05444502 0.05499376 0.01375504 0.04125917 0.01370167
 0.05498226 0.01378363 0.04121984 0.01373011 0.05497071 0.05499224
 0.0137589  0.04171427 0.01324509 0.05552132 0.0132468  0.04171371
 0.01375596 0.05499341 0.0549719  0.01372716 0.04122387 0.01378074
 0.05498345 0.01369881 0.04126319 0.01375209 0.05499493 0.0544441
 0.01425265 0.04075732 0.01371303 0.0549776  0.01379492 0.04120405
 0.01374168 0.05496612 0.05498762 0.01377044 0.0412381  0.01371684
 0.05497605 0.05550907 0.01323398 0.05550836 0.05497653 0.01371566
 0.0412397  0.01376926 0.0549881  0.05496659 0.01374049 0.04120566
 0.01379378 0.05497808 0.01371185 0.04075741 0.014253   0.05444445
 0.05499446 0.01375328 0.04126158 0.01369995 0.05498296 0.01378189
 0.04122226 0.01372835 0.05497142 0.05499294 0.01375713 0.04171395
 0.01324609]",0.05552132334560156,0.03421738235408376,0.04403389449896444,0.00011781230568796328
5,"[0.05497025 0.01373124 0.04121829 0.01378474 0.05498181 0.01370278
 0.04125764 0.01375618 0.05499332 0.05444542 0.01425377 0.04075772
 0.013709   0.05497924 0.01379096 0.0412096  0.01373759 0.05496773
 0.05498925 0.01376638 0.04124367 0.01371281 0.05497769 0.01379471
 0.04171176 0.01323407 0.05551077 0.0549749  0.01371971 0.04123413
 0.01377332 0.05498645 0.05496498 0.01374458 0.05499789 0.05497644
 0.01371589 0.04075718 0.01425171 0.05444333 0.05499608 0.01374918
 0.04126713 0.013696   0.05498461 0.01377787 0.04122783 0.01372429
 0.05497305 0.05499455 0.01375306 0.04171304 0.01324858 0.0555212
 0.01324354 0.0417147  0.01376179 0.05499108 0.05496956 0.013733
 0.04121588 0.01378648 0.0549811  0.0137045  0.04125524 0.01375795
 0.05499262 0.05444606 0.01425418 0.04075795 0.01370728 0.05497995
 0.01378925 0.04121201 0.01373583 0.05496843 0.05498995 0.01376462
 0.04124608 0.01371107 0.0549784  0.013793   0.04171228 0.01323416
 0.05551172 0.05497418 0.01372146 0.0412317  0.01377507 0.05498575
 0.05496428 0.01374635 0.0549972  0.05497574 0.01371764 0.04075715
 0.01425108 0.0544429  0.05499678 0.01374742 0.05496386 0.05498532
 0.01377612 0.04123024 0.01372252 0.05497376 0.05499525 0.01375129
 0.04171259 0.01324973 0.05552106 0.01324265 0.04171493 0.01376356
 0.05499037 0.05496887 0.01373477 0.04121348 0.0137882  0.05498039
 0.01370623 0.04125281 0.01375971 0.05499192 0.05444675 0.01425456
 0.04075823 0.01370554 0.05498066 0.01378752 0.04121443 0.01373407
 0.05496912 0.05499066 0.01376287 0.0412485  0.01370933 0.05497911
 0.01379129 0.04171277 0.01323432 0.05551264 0.05497348 0.01372321]",0.055521196220070124,0.03445846063873938,0.04425972379759831,0.0001164153218263892
6,"[0.0549741  0.01372168 0.04075723 0.01424947 0.05444214 0.05499838
 0.01374334 0.05496547 0.05498695 0.01377208 0.04123583 0.01371847
 0.05497539 0.05499687 0.0137472  0.05496394 0.05552056 0.01324075
 0.04171525 0.01376763 0.05498874 0.05496724 0.01373885 0.04120792
 0.01379218 0.05497874 0.01371022 0.04124725 0.01376378 0.05499029
 0.0544485  0.01425523 0.04075902 0.01370157 0.0549823  0.01378352
 0.04121999 0.01373    0.05497075 0.05499227 0.01375878 0.04125406
 0.01370533 0.05498074 0.0137873  0.04171373 0.01323485 0.05551459
 0.05497185 0.01372728 0.04122372 0.01378084 0.0549834  0.01369891
 0.04126304 0.01375221 0.05499489 0.05497339 0.01372343 0.04075733
 0.0142487  0.05444187 0.05499906 0.01374158 0.05496616 0.05498765
 0.01377033 0.04123824 0.01371673 0.0549761  0.05499756 0.01374544
 0.05496464 0.05552026 0.01324001 0.04171533 0.01376938 0.05498805
 0.05496654 0.01374061 0.04120551 0.01379388 0.05497803 0.01371197
 0.04124483 0.01376554 0.05498958 0.05444934 0.01425547 0.04075944
 0.01369985 0.05498301 0.01378178 0.0412224  0.01372823 0.05497146
 0.05499297 0.01375703 0.04125648 0.01370361 0.05498145 0.01378557
 0.04171408 0.01323514 0.05551535 0.05497114 0.01372904 0.04122131
 0.01378257 0.05498269 0.01370063 0.04126064 0.01375398 0.0549942
 0.05497268 0.01372519 0.04075747 0.01424788 0.05444166 0.01423947
 0.04076025 0.01373981 0.05496687 0.05498837 0.01376858 0.04124066
 0.01371498 0.05497681 0.05499825 0.01374366 0.05496534 0.05551994
 0.0132393  0.04171537 0.01377113 0.05498734 0.05496585 0.01374238
 0.05499876 0.05497732]",0.05552055547013879,0.03534498942151133,0.044886853951142586,0.00011315569281527811
7,"[0.01425581 0.04076054 0.01369589 0.05498464 0.01377776 0.04122798
 0.01372417 0.05497309 0.0549946  0.01375295 0.04126204 0.01369964
 0.05498311 0.01378157 0.04171473 0.013236   0.05551695 0.05496951
 0.0137331  0.04121573 0.01378657 0.05498105 0.01370461 0.04125508
 0.01375804 0.05499258 0.05497106 0.01372926 0.04075797 0.01424583
 0.05444133 0.0142421  0.04075919 0.01373572 0.05496848 0.05499
 0.01376451 0.04124624 0.01371095 0.05497844 0.01379289 0.04120691
 0.01373958 0.05496695 0.05551897 0.01323784 0.04171529 0.01377517
 0.05498569 0.05496423 0.01374646 0.05499715 0.05497569 0.01371774
 0.04123685 0.01377135 0.05498724 0.05445246 0.0142559  0.05445532
 0.05498535 0.01377601 0.04123039 0.01372241 0.05497379 0.05499529
 0.01375117 0.04126444 0.01369793 0.05498381 0.01377983 0.04171494
 0.01323644 0.05551756 0.05496881 0.01373487 0.04121333 0.0137883
 0.05498034 0.01370634 0.04125268 0.01375981 0.05499186 0.05497035
 0.01373101 0.04075824 0.01424487 0.05444127 0.01424317 0.0407588
 0.01373396 0.05496918 0.0549907  0.01376276 0.04124865 0.01370922
 0.05497915 0.01379118 0.0412093  0.01373782 0.05496765 0.05551848
 0.01323728 0.04171519 0.01377692 0.05498498 0.05496355 0.01374824
 0.05499646 0.05497498 0.01371949 0.04123443 0.0137731  0.05498654
 0.05445349 0.01425593 0.05445421 0.05498606 0.01377426 0.04123281
 0.01372067 0.05497451 0.05499599 0.01374941 0.04126684 0.01369621
 0.05498452 0.01377809 0.04171511 0.01323693 0.05551813 0.05496811
 0.01373664 0.04121092 0.01379003 0.05497963 0.01370807 0.04125027
 0.01376157 0.05499117 0.05496964 0.01373278 0.04075857 0.01424387]",0.05551897268742323,0.03446233020642669,0.04423902675611484,0.00011851079761805589
14,"[0.0550037  0.06870956 0.05498068 0.06874489 0.05495764 0.05605345
 0.06873708 0.05498579 0.12371057 0.0549658  0.06873233 0.05498889
 0.1226198  0.05499449 0.06872377 0.05497139 0.12370756 0.05499139
 0.06872852 0.05605763 0.12370557 0.05497508 0.06871813 0.05499815
 0.12370392 0.05390188 0.06873799 0.05496213 0.12371256 0.05498211
 0.06874272 0.05495904 0.05605217 0.06873925 0.05498438 0.12371134
 0.05496439 0.0687345  0.05498748 0.12262002 0.05499588 0.0687216
 0.05497281 0.12370679 0.05499281 0.06872634 0.05605847 0.12370634
 0.05497367 0.06872029 0.05499674 0.12370468 0.05390216 0.06873583
 0.05496353 0.12371179 0.05498352 0.06874057 0.05496045 0.05605078
 0.06874141 0.05498296 0.12371209 0.05496297 0.06873667 0.05498606
 0.12262035 0.0549973 ]",0.12371255783364177,0.07276944929788656,0.08153287589667661,5.4249539971759284e-05
15,"[0.05496684 0.12371001 0.05606117 0.06871589 0.0549996  0.12370313
 0.05497964 0.06871117 0.05500267 0.05391277 0.06870963 0.05498064
 0.06874496 0.0549576  0.0550006  0.06871437 0.05497754 0.12479439
 0.05496583 0.06873227 0.05498893 0.12370888 0.05496893 0.06872753
 0.05390406 0.12370757 0.05499134 0.06872859 0.05496825 0.12370925
 0.05606078 0.06871805 0.05499819 0.12370388 0.05497823 0.06871332
 0.05500126 0.12262177 0.05498206 0.06874279 0.054959   0.055002
 0.0687122  0.05497895 0.12479396 0.05496443 0.06873444 0.05498752
 0.12370965 0.05496751 0.06872969 0.05390343 0.12370682 0.05499276
 0.06872641 0.05496966 0.12370848 0.05606031 0.06872022 0.05499678
 0.12370464 0.0549768  0.06871549 0.05499986 0.12262118 0.05498347
 0.06874063]",0.12479438865557313,0.07303478564622241,0.08101667716120184,5.587935447592594e-05
16,"[0.05499607 0.06872133 0.05606003 0.1237081  0.0549704  0.0687253
 0.05499348 0.12370642 0.05390314 0.06873081 0.05496678 0.12371003
 0.05498679 0.06873555 0.05496371 0.1247937  0.05497968 0.06871109
 0.0550027  0.05495972 0.06874169 0.05498278 0.12262146 0.05500054
 0.06871443 0.0549775  0.12370428 0.05499748 0.06871917 0.05606055
 0.12370886 0.05496897 0.06872747 0.05499207 0.12370719 0.05390372
 0.06872864 0.0549682  0.12370926 0.05498821 0.06873338 0.05496511
 0.12479417 0.05497826 0.06871326 0.05500131 0.05495832 0.06874384
 0.05498136 0.06870853 0.05391353 0.05500196 0.06871227 0.05497892
 0.12370352 0.05499889 0.068717   0.05606097 0.12370961 0.05496755
 0.06872963 0.05499067 0.12370795 0.0539044  0.06872647 0.05496962
 0.1237085  0.05498963]",0.12479416793212295,0.07276935201576527,0.0816513110840546,5.611218511990744e-05
