Access From [JDUT1],Access Duration [s],POI index,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2458563.321865945,0.014081597,2,9240.12844231771,43.5522947631182,49.89446300957482,nan,True
2458562.363970926,0.013075769,6,12519.358534330637,20.379926244392653,22.741894814318698,62.71194505683072,True
2458562.497152317,0.013075769,7,13218.932908635854,10.265904140143752,11.410303813486758,nan,True
2458563.188686288,0.014081597,7,13209.875246305794,10.460683591016583,11.627539389404818,nan,True
2458562.535717843,0.013075769,8,9216.870207797863,43.672647688416966,50.06210351624893,nan,True
2458562.668903669,0.014081597,9,13204.415829805173,10.609919446532645,11.796863200553204,nan,True
2458563.016938836,0.014081597,11,9285.08892342031,43.31610457190869,49.61662631183834,nan,True
2458563.150120926,0.013075769,12,4752.635568656447,61.55641316384933,77.50909222741603,nan,True
2458563.112698315,0.013075769,17,4096.265390278335,63.116822750084026,81.9354236458859,88.56456767925607,True
2458562.83784134,0.014081597,20,9253.274963276643,43.48357353034977,49.80881917649803,nan,True
2458563.329066924,0.014081597,21,11140.232127220443,32.15560642425183,36.21556364141661,49.06810378556399,True
2458562.562985131,0.014081597,23,13200.71013354431,10.650545132315827,11.839020386542098,nan,True
2458562.47003754,0.014081597,25,8436.782054071014,47.55141671428884,55.01436445427354,nan,True
2458563.019746941,0.014081597,30,9210.94812399549,43.70354141326451,50.09928042995142,nan,True
2458562.74489262,0.014081597,33,4038.550689860621,63.20982905558826,82.37243991113897,82.26492785105404,True
2458562.57585521,0.013075769,42,6748.338806247205,54.867607059914114,65.21622286155174,78.89827727910424,True
2458562.835145864,0.014081597,45,8175.1364388584425,48.78040997889038,56.61551443874291,nan,True
2458563.263049544,0.013075769,47,11471.677833812448,29.741299551430362,33.41666746191788,72.56987320137293,True
2458562.525875672,0.014081597,58,9807.984062677295,40.4778623394156,46.11966147934152,58.08088519258812,True
2458562.95378572,0.014081597,60,7104.643276616538,53.435512861368146,63.09784284392126,nan,True
2458562.885126554,0.014081597,61,6926.003786704358,54.15874948360797,64.16572972334015,88.33997967065466,True
2458563.213070074,0.014081597,63,6188.197388600849,56.97632642643706,68.58665214710828,nan,True
2458563.107334367,0.014081597,74,6943.9905599383155,54.09203805777722,64.04551791905638,nan,True
2458562.441105946,0.013075769,78,5451.513526063868,59.50603636958505,73.06015786212288,11.490853712906663,True
2458562.557578822,0.014081597,85,11442.657236214336,29.959413459019554,33.66757475922819,nan,True
2458562.990861448,0.014081597,87,7984.813615391479,49.64889094293367,57.7847326440053,33.987240385973436,True
2458562.660623897,0.014081597,93,11918.71057877906,26.154805662866746,29.303245914243234,nan,True
2458563.21037942,0.014081597,102,6965.035953962476,54.00117424554799,63.934549009251384,nan,True
2458562.417436069,0.013075769,108,3468.7413071830983,64.06092103543378,86.66018594825682,nan,True
2458562.554864168,0.013075769,127,9825.82955191439,40.3767844173199,45.985079973804254,nan,True
2458562.890444858,0.013075769,142,4066.7304037727326,63.16287325372348,82.161443471233,nan,True
2458562.75301725,0.013075769,145,7684.653755846071,50.982422973127704,59.60997271101263,80.96946622655558,True
2458562.615589478,0.013075769,148,6062.135619353082,57.434224553941995,69.33822835497547,nan,True
2458562.478161542,0.014081597,151,1016.8451028416303,43.202434349731746,49.46817701198232,nan,True
2458562.927495587,0.013075769,152,1336.2184897378029,53.52768951164431,63.22645045726587,21.073958793604557,True
2458562.721316965,0.013075769,157,8441.112469226307,47.53190089132752,54.98197830221652,nan,True
2458563.170700659,0.013075769,158,8933.649742039173,45.123031853499164,51.87703718043184,nan,True
2458562.964522083,0.014081597,163,2790.9344702473004,64.12896886398582,87.31535895553425,nan,True
2458562.586590277,0.013075769,184,8543.13558083319,47.043529534377626,54.348528232950244,62.77301803494144,True
2458562.380411598,0.013075769,189,2771.2204058413804,64.0962691321677,87.10268460948352,53.294889188623394,True
