POI,lat[deg],lon[deg]
0,90,0
1,-90,0
2,88.9888,0
3,88.9888,60
4,88.9888,120
5,88.9888,180
6,88.9888,240
7,88.9888,300
8,-88.9888,0
9,-88.9888,60
10,-88.9888,120
11,-88.9888,180
12,-88.9888,240
13,-88.9888,300
14,87.9775,0
15,87.9775,30
16,87.9775,60
17,87.9775,90
18,87.9775,120
19,87.9775,150
20,87.9775,180
21,87.9775,210
22,87.9775,240
23,87.9775,270
24,87.9775,300
25,87.9775,330
26,-87.9775,0
27,-87.9775,30
28,-87.9775,60
29,-87.9775,90
30,-87.9775,120
31,-87.9775,150
32,-87.9775,180
33,-87.9775,210
34,-87.9775,240
35,-87.9775,270
36,-87.9775,300
37,-87.9775,330
38,86.9663,0
39,86.9663,18.9474
40,86.9663,37.8947
41,86.9663,56.8421
42,86.9663,75.7895
43,86.9663,94.7368
44,86.9663,113.684
45,86.9663,132.632
46,86.9663,151.579
47,86.9663,170.526
48,86.9663,189.474
49,86.9663,208.421
50,86.9663,227.368
51,86.9663,246.316
52,86.9663,265.263
53,86.9663,284.211
54,86.9663,303.158
55,86.9663,322.105
56,86.9663,341.053
57,-86.9663,0
58,-86.9663,18.9474
59,-86.9663,37.8947
60,-86.9663,56.8421
61,-86.9663,75.7895
62,-86.9663,94.7368
63,-86.9663,113.684
64,-86.9663,132.632
65,-86.9663,151.579
66,-86.9663,170.526
67,-86.9663,189.474
68,-86.9663,208.421
69,-86.9663,227.368
70,-86.9663,246.316
71,-86.9663,265.263
72,-86.9663,284.211
73,-86.9663,303.158
74,-86.9663,322.105
75,-86.9663,341.053
76,85.9551,0
77,85.9551,14.4
78,85.9551,28.8
79,85.9551,43.2
80,85.9551,57.6
81,85.9551,72
82,85.9551,86.4
83,85.9551,100.8
84,85.9551,115.2
85,85.9551,129.6
86,85.9551,144
87,85.9551,158.4
88,85.9551,172.8
89,85.9551,187.2
90,85.9551,201.6
91,85.9551,216
92,85.9551,230.4
93,85.9551,244.8
94,85.9551,259.2
95,85.9551,273.6
96,85.9551,288
97,85.9551,302.4
98,85.9551,316.8
99,85.9551,331.2
100,85.9551,345.6
101,-85.9551,0
102,-85.9551,14.4
103,-85.9551,28.8
104,-85.9551,43.2
105,-85.9551,57.6
106,-85.9551,72
107,-85.9551,86.4
