POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of SNR,Mean of DR,Mean of Noise-Equivalent Delta T [K],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of SNR,SD of DR,SD of Noise-Equivalent Delta T [K]
0,29.946751863489116,29.946751863494477,528.1739347026504,14040.840733665085,,1.0661517416421371e-10,1.0813110814653639e-10,38.127202762869615,2036.3402380635391,
2,29.946751863533613,30.16000000048061,526.2744952134691,13961.28707756843,,1.3372836094509906e-10,0.1855354870150427,43.29551886530707,2314.385697439625,
3,29.946751863522667,30.156066382709557,521.7235604069944,13716.039475537968,,1.2723667945008057e-10,0.18391021059436208,41.691167641415724,2211.5797778934016,
4,29.946751863503966,30.164987056994654,530.3952694655102,14193.073880035332,,1.1674142231239663e-10,0.1884058325199065,46.45098924916408,2490.0222286090225,
5,29.94675186349854,30.16264236849735,528.8791845582933,14106.738928946446,,9.832492753370895e-11,0.18759367533043955,45.12440690361571,2416.1718726164518,
6,29.946751863512397,30.153274715676122,528.8797403414962,14100.49739055552,,1.1435305525544238e-10,0.18155301661839088,43.70695820684864,2329.7491883190132,
7,29.94675186351845,30.162367264604203,533.852271731632,14375.196089848147,,1.2125815827871994e-10,0.1863576285607641,46.05293391054661,2471.7298845064656,
14,29.94675186356055,30.15347287171757,521.2899026160688,13752.226610524274,,1.401929545983974e-10,0.1865334545619829,54.264646177508936,2854.09427369393,
15,29.946751863561015,30.156810470946912,535.0829594963769,14502.618175228401,,1.269305218046183e-10,0.18766018044529698,58.2151592795521,3170.3196156889685,
16,29.946751863546684,30.150182735053892,531.6859182184447,14345.736914945384,,1.3231784732397345e-10,0.18132588208797482,62.30301663224654,3369.232914138884,
17,29.946751863566664,30.156966356221993,518.6128666182707,13649.99738320565,,1.3238945997196498e-10,0.18657508040466605,60.78492291956492,3231.572464978297,
18,29.94675186356197,30.1457195198967,525.4267250102802,13973.515750682001,,1.330063976362734e-10,0.17901495866288358,55.164186383325514,2954.962457382189,
19,29.946751863564728,30.149439791542715,523.9440917804562,13879.78529395742,,1.2559645194786462e-10,0.17960779027244514,52.13721152583932,2732.2427297350264,
20,29.946751863548265,30.15472901837906,530.2131341561545,14265.255435007783,,1.1710566647339121e-10,0.18945217265756426,61.929932993330596,3291.821635444046,
21,29.94675186357094,30.156203216048258,524.4920731718477,13920.036652210341,,1.2014911588754387e-10,0.18539927608315557,54.33985538988449,2922.973183137918,
22,29.946751863555306,30.143565439002387,526.0582912184776,14016.739598839335,,1.3495867945119563e-10,0.17415109598155953,56.97187849310478,3045.472689423461,
23,29.946751863551196,30.1524658150982,528.3214452331811,14140.723961979793,,1.3104229819645875e-10,0.18596952699764094,57.79834357191516,3108.437846141094,
24,29.946751863552613,30.15706840810271,523.3868277755794,13903.935324715949,,1.2247151487170948e-10,0.18760230337419495,61.64918837954967,3294.7129755189603,
25,29.946751863573,30.143978929414008,526.108236742261,13995.971940112515,,1.4941701770804617e-10,0.17539305600261074,52.639375171159145,2818.801937290611,
38,29.946751863521552,30.16043818558445,525.2107740469131,14038.885717534267,,1.2231544285457876e-10,0.19546662576790794,68.04766695130684,3653.515808099207,
39,29.94675186348878,30.145825450959364,529.8441999471789,14357.315188626746,,9.585173396466556e-11,0.1830157593296864,78.41346359634181,4188.342362127487,
40,29.94675186349028,30.149163488591736,530.6510189598243,14413.06654019172,,9.835140074573874e-11,0.1864207267098279,80.10792100462973,4330.959135001075,
