POI index,Mean of Observation Range [km],Mean of Look angle [deg],Mean of Incidence angle [deg],Mean of Solar Zenith [deg],SD of Observation Range [km],SD of Look angle [deg],SD of Incidence angle [deg],SD of Solar Zenith [deg]
2,9257.665988302366,43.46048612664706,49.78034884648234,84.45250059748197,24.80183538224288,0.12983701884046125,0.16138179710423392,nan
3,2152.0658212965,62.474648193997695,79.88610523609526,63.67762735547993,51.628847237469785,0.24356773904826984,0.7144141894660686,nan
4,4791.776570045953,61.46762487161432,77.22944724522304,nan,41.27104203944922,0.11125220472665977,0.26918198722064185,nan
5,9240.757681423904,43.54892872010079,49.890682616156454,83.010563889425,19.452390078448918,0.10162711386055266,0.12633487499251939,nan
6,12513.078374260978,20.447924409915746,22.818489437814257,62.71194505683072,8.88148754438687,0.09616392789924906,0.10832115535228957,nan
7,13214.404077470823,10.363293865580168,11.518921601445788,nan,6.404734455282967,0.13772987054797026,0.1536087488466256,nan
8,9251.550497616887,43.49131518334832,49.835894976647985,nan,44.97782223509147,0.2353939963199774,0.2940245642301113,nan
9,13212.709141927086,10.433878228561039,11.600546759660295,71.18174809261866,11.728514479803849,0.24895987799212185,0.2776333732275683,nan
10,12520.231860247633,20.38542717810273,22.754009021575662,86.92027232345652,1.8029669791256548,0.019071454936648337,0.021289043318568134,nan
11,9249.089893971306,43.50418744567878,49.85203136792731,nan,50.9103156790492,0.26598935093577397,0.332913022972223,nan
12,4760.712776239448,61.535211789586214,77.45575840235554,71.17580636518954,11.422896509982396,0.02998327102384162,0.0754254187337809,nan
13,2131.367498093113,62.33376278960441,79.54897778609947,85.73993250325601,7.754143313385175,0.03683674988903187,0.10740654058299318,nan
14,8433.552712193468,47.569705801682865,55.019435390313426,nan,nan,nan,nan,nan
17,4096.265390278335,63.11682275008402,81.9354236458859,88.56456767925606,nan,nan,nan,nan
18,6414.5755743369045,56.150239374960776,67.20832885212569,nan,nan,nan,nan,nan
19,7816.554956880581,50.4043052893166,58.80193230403663,nan,nan,nan,nan,nan
20,9253.274963276644,43.48357353034977,49.808819176498034,nan,nan,nan,nan,nan
21,11147.545713615737,32.10378682529708,36.15452904251357,49.06810378556399,10.34297306980941,0.0732839796385507,0.0863159575426741,nan
22,12815.596023348497,16.845667266407208,18.76574033158075,83.16341468832236,1.987797340827873,0.027977300327087423,0.03183660553932796,nan
23,13200.71013354431,10.650545132315827,11.8390203865421,nan,nan,nan,nan,nan
24,11708.559896512712,27.89088331578405,31.28410519155912,nan,nan,nan,nan,nan
25,8436.782054071014,47.55141671428885,55.01436445427354,nan,nan,nan,nan,nan
26,11711.556985056954,27.87462732073771,31.27346097408895,75.15646762246156,nan,nan,nan,nan
30,9210.948123995491,43.7035414132645,50.09928042995142,nan,nan,nan,nan,nan
31,7775.378257298344,50.58060856309763,59.06755895543989,89.87803702287759,93.54404526747169,0.4135223532071362,0.5651061216708588,nan
32,6302.439885906573,56.55884273607985,67.89838799578064,68.88518680680855,nan,nan,nan,nan
33,4038.550689860621,63.20982905558825,82.37243991113897,82.26492785105405,nan,nan,nan,nan
34,813.4192126716182,28.409055889096685,31.887627350416818,nan,nan,nan,nan,nan
35,4095.229674726747,63.099964681208704,81.9683771315088,nan,nan,nan,nan,nan
36,7162.605460115053,53.202875464811584,62.73749753389622,nan,nan,nan,nan,nan
37,3936.467617703707,63.415726666306,83.08467022436247,nan,nan,nan,nan,nan
38,880.2682127127638,34.85582497363395,39.37981416381877,47.254899822069575,nan,nan,nan,nan
41,6204.383482757567,56.927238666857576,68.47056534445287,nan,nan,nan,nan,nan
42,6748.338806247205,54.867607059914114,65.21622286155174,78.89827727910424,nan,nan,nan,nan
45,8175.1364388584425,48.78040997889038,56.615514438742906,nan,nan,nan,nan,nan
47,11471.67783381245,29.74129955143036,33.416667461917875,72.56987320137294,nan,nan,nan,nan
48,12580.56026099764,19.700813219125372,21.97615043706377,89.70107359257088,nan,nan,nan,nan
49,12768.164270740137,17.458462104333524,19.453552142446352,nan,nan,nan,nan,nan
51,9889.520353706315,40.016373809503065,45.547108043724954,53.99783675724301,nan,nan,nan,nan
52,7166.594609042745,53.181025044427464,62.72735761874336,nan,nan,nan,nan,nan
55,12795.398803908976,17.127561690085688,19.086710467044878,nan,nan,nan,nan,nan
57,11466.131724864932,29.78743195652761,33.47542745914873,nan,nan,nan,nan,nan
58,9807.984062677297,40.4778623394156,46.119661479341524,58.08088519258812,nan,nan,nan,nan
60,7104.643276616538,53.43551286136815,63.09784284392126,nan,nan,nan,nan,nan
61,6926.0037867043575,54.15874948360797,64.16572972334015,88.33997967065466,nan,nan,nan,nan
