Satellite states are in Earth-Centered-Inertial equatorial plane.
Epoch[JDUT1] is 2458562.344745371
All time is referenced to the Epoch.
Mission Duration [Days] is 1
EventNum,POI,AccessFrom[Days],Duration[s],Time[Days],X[km],Y[km],Z[km],VX[km/s],VY[km/s],VZ[km/s]
0,3,0.523128710,0.014081597,0.523128791,1627.089708190,221.686049543,6887.232124786,6.327746756,-3.792097194,-1.372412689
1,4,0.656314772,0.013075769,0.656314841,-761.829686729,1560.086636274,6864.037227560,6.516867706,-3.404990336,1.497263911
2,5,0.179636695,0.014081597,0.179636776,1684.692547002,177.812281119,6874.639920579,6.288606318,-3.831360253,-1.441549172
3,6,0.312815662,0.013075769,0.312815732,-698.445156068,1535.807057987,6876.243537049,6.503438358,-3.457925097,1.432960329
4,8,0.484564512,0.013075769,0.484564581,730.887812775,-1548.768405519,-6871.889539017,-6.508484816,3.430458285,-1.465323391
5,9,0.007890023,0.014081597,0.007890104,-1712.004626643,-156.681271389,-6870.155837859,-6.267538643,3.849784908,1.474465762
6,10,0.141069479,0.014081597,0.141069561,665.291570008,-1522.834063621,-6884.338513302,-6.494877040,3.483832657,-1.398236707
7,13,0.351386161,0.013075769,0.351386231,-1656.893597117,-199.563141610,-6882.541311566,-6.306414523,3.810943330,1.408133669
8,14,0.035006322,0.013075769,0.035006392,-2288.526442688,2356.560690923,6272.068887302,6.060842937,-2.931969059,3.312809453
9,19,0.584718485,0.014081597,0.584718566,-2332.156825368,2344.951652973,6260.331626045,6.079077938,-2.865282596,3.337666283
10,22,0.309862019,0.014081597,0.309862101,-2310.545482969,2350.931761591,6266.102549580,6.069976181,-2.898555491,3.325473501
11,32,0.491769044,0.014081597,0.491769125,-3182.265113962,756.671333586,-6281.172456368,-5.621483743,3.716368899,3.296478152
12,35,0.216914220,0.014081597,0.216914301,-3189.184554498,778.734071730,-6274.972283187,-5.597142219,3.741251296,3.309706584
13,37,0.994306663,0.014081597,0.994306745,-3696.233681251,2913.692824628,5289.488772212,5.296280579,-2.126185707,4.871626576
14,48,0.307112527,0.013075769,0.307112597,-3662.842598252,2957.694012416,5288.316047518,5.269799259,-2.187808512,4.873034648
15,49,0.238454002,0.014081597,0.238454083,-3631.739738898,2950.493197139,5313.727681423,5.288630212,-2.211395238,4.841889176
16,51,0.666356145,0.014081597,0.666356226,4423.921618397,-1604.964234337,5290.383041094,4.599153962,-3.380334103,-4.870301872
17,64,0.357093604,0.013075769,0.357093674,-4403.634160664,1619.533047183,-5304.261414962,-4.592737619,3.408763149,4.854797250
18,67,0.616376968,0.013075769,0.616377038,3665.313222092,-2933.113475593,-5302.526361846,-5.290622983,2.167657056,-4.856707170
19,72,0.394168259,0.013075769,0.394168328,5336.279737794,-2358.118453066,4012.638261416,3.306506095,-2.880281636,-6.088238841
20,75,0.716739458,0.013075769,0.716739527,-4786.426435120,3337.533897691,4010.394708266,4.176364572,-1.329990739,6.090241498
21,81,0.943923653,0.014081597,0.943923735,5359.007340584,-2308.151450896,4011.448867386,3.332385341,-2.848383028,-6.089101589
22,86,0.166984110,0.014081597,0.166984191,-4755.492991795,3382.897319338,4009.217684575,4.162571759,-1.368669318,6.091090935
23,98,0.063930836,0.014081597,0.063930918,4739.912182657,-3388.503675354,-4025.384131751,-4.171886657,1.384750924,-6.079237295
24,100,0.497222720,0.014081597,0.497222801,-5332.444034270,2341.509511096,-4028.581360083,-3.325233698,2.880278111,6.077180341
25,107,0.613686466,0.013075769,0.613686536,4770.867516399,-3343.283719857,-4026.658463764,-4.185905574,1.346047535,-6.078269419
26,109,0.026884966,0.014081597,0.026885048,-5553.148426381,3607.816775592,2506.236420022,2.824723822,-0.471485776,6.935235618
27,128,0.164313018,0.013075769,0.164313088,-5564.145238843,3595.092681245,2500.109105200,2.820313002,-0.461244455,6.937724743
28,130,0.087610437,0.014081597,0.087610518,-5917.331220341,2977.069365197,-2503.288128731,-1.826965123,2.198940183,6.936527121
29,143,0.499893907,0.013075769,0.499893976,-5933.247917205,2929.108607781,-2522.070123179,-1.860567115,2.194861707,6.928903806
30,146,0.362466238,0.014081597,0.362466320,-5928.016251843,2945.137641286,-2515.714358013,-1.849270733,2.196217384,6.931490966
31,149,0.225038419,0.014081597,0.225038501,-5922.710519401,2961.124630167,-2509.453655581,-1.838070104,2.197576618,6.934031972
32,158,0.330802617,0.014081597,0.330802698,6173.226476659,-3366.056658319,839.733134514,0.258290380,-1.367562908,-7.372353235
33,163,0.124624206,0.014081597,0.124624288,6160.777359048,-3385.428303337,853.076482430,0.265963071,-1.375354750,-7.370643857
34,169,0.367829290,0.014081597,0.367829371,-6051.763213072,3573.705392224,861.645177299,1.326715091,0.467891179,7.369994530
35,174,0.161650751,0.014081597,0.161650833,-6041.476268037,3594.287755398,848.211533248,1.316005608,0.470539406,7.371733467
36,180,0.914913500,0.014081597,0.914913581,-6206.300422174,3302.880240780,-844.509054531,-0.274843094,1.366454852,7.372252244
37,185,0.708735017,0.014081597,0.708735099,-6194.061097075,3322.371745413,-857.906261832,-0.282633855,1.374198623,7.370505019
38,191,0.951929097,0.014081597,0.951929179,6088.816422254,-3512.795256321,-856.926418090,-1.315782810,-0.484622902,-7.370104099
39,196,0.745750614,0.014081597,0.745750696,6078.699637517,-3533.472476155,-843.541178463,-1.305103826,-0.487161273,-7.371847514
