POI index,Gaps [Days],Max Coverage Gap [Days],Mean Coverage Gap [Days],Time Average Gap [Days],Percentage Coverage
14,"[0.03434509 0.0336326  0.0343451  0.13856379 0.06800843 0.06798344
 0.58533727 0.03434508 0.03365638 0.01443262 0.01991248 0.03364196
 0.0343451  0.13857804 0.06798161 0.0680131  0.58533006 0.03434511
 0.03363422 0.03434511 0.03367628 0.03434506 0.07053244 0.06801898
 0.06797989 0.58533165 0.03434507 0.03366579 0.01366934 0.02067575
 0.03363726 0.03434509 0.13857831 0.06798599 0.06800336 0.58533633
 0.0343451  0.0336374  0.03434511 0.0336654  0.03434507 0.07053086
 0.06803102 0.06797795 0.58532308 0.03434507 0.03367671 0.03434511
 0.03363412 0.0343451  0.13857601 0.06799194 0.06799515 0.58533963
 0.0343451  0.03364217 0.03434511 0.03365604 0.03434509 0.13856985
 0.06797758 0.65334581 0.03434511 0.03363255 0.03434511 0.13857117
 0.06799943 0.06798849 0.58533995 0.0343451  0.03364852 0.03434511
 0.03364821 0.03434509 0.13857525 0.0679788  0.06802427 0.58532094
 0.03434511 0.03363258 0.03434511 0.13856376 0.06800846 0.0679834
 0.5853373  0.03434508 0.03365639 0.03434511 0.03364192 0.0343451
 0.13857808 0.0679816  0.06801303 0.58533016 0.03434511 0.03363419
 0.03434511 0.03367619 0.03434506 0.07053251 0.06801902 0.06797985
 0.58533169 0.03434507 0.03366581 0.03434511 0.0336372  0.0343451
 0.13857836 0.06798598 0.0680033  0.58533645 0.03434511 0.03363739
 0.03434511 0.0336653  0.03434507 0.07053094 0.06803106 0.06797791
 0.58532312 0.03434507 0.03367674 0.03434511 0.03363406 0.03434511
 0.13857607 0.06799194 0.06799507 0.58533974 0.03434509 0.03364216
 0.03434512 0.03365595 0.03434508 0.13856998 0.06797753]",0.653345805592835,0.11207494136612237,0.35607959830623703,3.24798747922454e-05
15,"[0.03434506 0.03367766 0.03434511 0.03363393 0.0343451  0.13857572
 0.06799248 0.06799457 0.58533974 0.0343451  0.03364263 0.03434512
 0.03365535 0.03434508 0.13857037 0.06797762 0.65334581 0.03434511
 0.03363252 0.03434509 0.13857065 0.06800012 0.06798804 0.58533981
 0.03434508 0.03364911 0.03434511 0.03364766 0.03434509 0.13857555
 0.06797898 0.06802332 0.58532176 0.03434511 0.03363267 0.03434511
 0.13856303 0.06800927 0.06798306 0.58533692 0.03434509 0.03365711
 0.03434512 0.03364151 0.03434509 0.13857817 0.06798192 0.06801222
 0.58533073 0.0343451  0.03363442 0.03434511 0.03367528 0.03434507
 0.07053247 0.06801994 0.06797967 0.58533105 0.03434508 0.03366665
 0.03434511 0.03363692 0.0343451  0.13857823 0.06798642 0.0680026
 0.58533676 0.0343451  0.03363774 0.03434512 0.03366453 0.03434507
 0.07053058 0.0680321  0.06797785 0.58532224 0.03434505 0.0336777
 0.03434511 0.03363391 0.03434511 0.13857573 0.06799251 0.06799451
 0.5853398  0.03434509 0.03364264 0.03434511 0.03365529 0.03434509
 0.13857044 0.06797761 0.65334585 0.03434511 0.03363247 0.03434511
 0.13857067 0.06800013 0.06798797 0.58533989 0.03434509 0.0336491
 0.03434511 0.03364759 0.03434508 0.13857562 0.06797897 0.06802323
 0.58532189 0.03434511 0.03363263 0.03434511 0.13856306 0.06800928
 0.067983   0.585337   0.03434508 0.03365712 0.03434512 0.03364143
 0.0343451  0.13857824 0.0679819  0.06801211 0.58533087 0.03434511
 0.03363438 0.00929444 0.02505065 0.03367518 0.03434506 0.0705326
 0.06801997 0.0679796 ]",0.6533458484336734,0.11509172802568594,0.3621318968158312,3.22121195519387e-05
16,"[0.03365784 0.03434511 0.03364107 0.0343451  0.13857827 0.06798223
 0.06801138 0.58533131 0.03434509 0.03363464 0.03434511 0.03367436
 0.03434506 0.07053246 0.06802087 0.06797947 0.58533043 0.03434507
 0.03366749 0.02843661 0.00590848 0.03363663 0.0343451  0.1385781
 0.06798686 0.0680019  0.58533708 0.03434509 0.03363809 0.03434511
 0.03366374 0.03434507 0.13856341 0.06797779 0.58532136 0.03434506
 0.03367868 0.03434511 0.03363375 0.03434511 0.13857538 0.06799307
 0.06799395 0.58533987 0.03434509 0.03364313 0.03434512 0.03365463
 0.03434508 0.13857092 0.06797768 0.65334581 0.03434511 0.03363246
 0.03434511 0.13857011 0.06800082 0.06798755 0.58533971 0.03434508
 0.03364972 0.03434511 0.03364707 0.03434509 0.13857588 0.06797916
 0.0680223  0.58532266 0.03434511 0.03363275 0.03434512 0.0336864
 0.03434505 0.07053075 0.06801011 0.0679827  0.58533656 0.03434509
 0.03365786 0.03434512 0.03364104 0.0343451  0.1385783  0.06798223
 0.0680113  0.58533139 0.03434511 0.03363462 0.03434512 0.03367429
 0.03434506 0.0705325  0.06802092 0.06797942 0.58533045 0.03434507
 0.03366752 0.03434512 0.03363659 0.0343451  0.13857815 0.06798686
 0.06800184 0.58533718 0.03434509 0.03363808 0.03434511 0.03366367
 0.03434507 0.13856352 0.06797774 0.58532138 0.03434506 0.0336787
 0.03434511 0.03363371 0.03434511 0.13857543 0.06799307 0.06799388
 0.58533998 0.03434509 0.03364312 0.03434511 0.03365456 0.03434508
 0.13857102 0.06797764 0.65334589 0.03434512 0.00722105 0.02641133
 0.03434511 0.13857015 0.06800083 0.06798746 0.58533981]",0.6533458880148828,0.11659324203828608,0.3831664920440213,3.215391189120374e-05
17,"[0.03365397 0.03434509 0.1385714  0.06797774 0.6533458  0.03434511
 0.03363242 0.03434511 0.13856956 0.06800153 0.0679871  0.58533954
 0.03434508 0.02631182 0.00733849 0.03434511 0.03364652 0.03434508
 0.13857617 0.06797937 0.06802138 0.58532345 0.03434509 0.03363285
 0.03434511 0.03368538 0.03434506 0.07053101 0.06801094 0.06798239
 0.58533615 0.03434507 0.02561939 0.00803918 0.03434511 0.03364064
 0.03434509 0.13857836 0.06798255 0.06801051 0.58533193 0.03434511
 0.03363486 0.03434511 0.00965992 0.02401345 0.03434507 0.07053243
 0.06802186 0.06797925 0.58532977 0.03434507 0.03366839 0.03434511
 0.03363631 0.03434511 0.13857798 0.06798732 0.06800116 0.58533744
 0.0343451  0.03363845 0.03434511 0.03366289 0.03434509 0.13856417
 0.0679777  0.58532047 0.03434506 0.03367969 0.03434511 0.03363357
 0.03434511 0.13857505 0.06799367 0.06799334 0.58534    0.03434509
 0.03364362 0.03434511 0.03365391 0.03434509 0.13857146 0.06797773
 0.65334582 0.03434511 0.03363241 0.03434511 0.13856956 0.06800154
 0.06798706 0.58533959 0.03434509 0.03365034 0.03434512 0.03364646
 0.03434509 0.13857622 0.06797934 0.06802129 0.58532357 0.0343451
 0.03363282 0.03434511 0.0336853  0.03434505 0.07053111 0.06801096
 0.06798234 0.5853362  0.03434507 0.03365861 0.03434511 0.03364058
 0.0343451  0.13857842 0.06798254 0.06801042 0.58533206 0.03434511
 0.03363483 0.03434511 0.03367329 0.03434507 0.07053253 0.06802189
 0.06797921 0.58532984 0.03434507 0.03366841 0.03434511 0.03363625
 0.0343451  0.13857805 0.06798732 0.06800107 0.5853376  0.03434509
 0.03363842]",0.6533458181656897,0.11491558233798622,0.38253251277033534,3.307359293352145e-05
18,"[0.07053236 0.06802281 0.06797907 0.58532914 0.03434506 0.03366926
 0.03434511 0.03363605 0.0343451  0.13857784 0.06798778 0.06800047
 0.58533774 0.03434509 0.03363882 0.03434511 0.03366213 0.03434509
 0.13856483 0.06797765 0.58531957 0.03434506 0.03368067 0.03434511
 0.03363342 0.0343451  0.13857469 0.06799425 0.06799278 0.58534004
 0.03434508 0.03364411 0.03434512 0.03365328 0.03434508 0.13857193
 0.06797781 0.65334577 0.03434511 0.0336324  0.00830237 0.02604272
 0.13856898 0.06800227 0.06798664 0.58533937 0.03434509 0.03365097
 0.03434512 0.03364595 0.03434509 0.13857646 0.06797956 0.06802039
 0.5853243  0.0343451  0.03363296 0.03434511 0.0336843  0.03434505
 0.07053131 0.0680118  0.06798206 0.58533574 0.03434507 0.03365936
 0.03434511 0.02413671 0.00950348 0.03434508 0.13857844 0.0679829
 0.06800963 0.58533254 0.0343451  0.03363509 0.03434512 0.03367242
 0.03434507 0.07053239 0.06802285 0.06797906 0.58532914 0.03434507
 0.03366928 0.03434511 0.03363601 0.03434509 0.13857787 0.06798779
 0.06800042 0.58533782 0.0343451  0.03363881 0.03434511 0.03366206
 0.03434507 0.13856492 0.06797762 0.58531958 0.03434507 0.03368071
 0.03434511 0.03363339 0.0343451  0.13857473 0.06799425 0.06799271
 0.58534014 0.03434508 0.00441663 0.02922747 0.03434511 0.0336532
 0.03434509 0.13857201 0.06797778 0.65334584 0.03434511 0.03363236
 0.0343451  0.13856903 0.06800228 0.06798656 0.58533947 0.03434509
 0.03365095 0.03434512 0.03364589 0.03434509 0.13857655 0.06797953
 0.06802028 0.58532447 0.03434511 0.03363292 0.03434511 0.03368418]",0.6533458358608186,0.11574839471596414,0.383138843187521,3.25846485818866e-05
19,"[0.06800299 0.06798621 0.58533918 0.03434509 0.00645965 0.02719192
 0.03434511 0.03364544 0.00857342 0.02577166 0.13857669 0.06797979
 0.06801946 0.58532505 0.03434511 0.03363307 0.03434511 0.0336833
 0.03434506 0.07053152 0.06801265 0.06798177 0.58533529 0.03434507
 0.03366012 0.03434511 0.03363981 0.0343451  0.13857846 0.06798324
 0.06800885 0.58533303 0.03434511 0.03363534 0.03434511 0.03367156
 0.03434506 0.07053227 0.06802382 0.0679789  0.58532842 0.03434507
 0.03367017 0.03434511 0.03363576 0.0343451  0.13857766 0.06798828
 0.06799975 0.58533807 0.03434509 0.0336392  0.03434511 0.03366131
 0.03434507 0.13856554 0.06797759 0.58531863 0.03434505 0.03368172
 0.0343451  0.03363328 0.03434511 0.13857431 0.06799487 0.06799219
 0.58534012 0.03434509 0.03364463 0.03434511 0.03365258 0.03434508
 0.13857242 0.06797789 0.06803149 0.58531423 0.0343451  0.03363237
 0.03434511 0.13856841 0.06800302 0.06798617 0.58533921 0.03434508
 0.03365161 0.03434512 0.03364539 0.03434509 0.13857676 0.06797978
 0.06801939 0.58532516 0.0343451  0.03363306 0.03434511 0.03368321
 0.03434506 0.07053159 0.06801268 0.06798173 0.58533534 0.03434507
 0.03366013 0.03434512 0.03363976 0.03434509 0.13857853 0.06798323
 0.06800877 0.58533315 0.03434511 0.03363534 0.03434511 0.03367146
 0.03434507 0.07053235 0.06802385 0.06797885 0.58532848 0.03434506
 0.03367018 0.03434512 0.03363569 0.0343451  0.13857772 0.06798827
 0.06799968 0.58533818 0.03434509 0.03363919 0.03434511 0.03366121
 0.03434509 0.13856566 0.06797755 0.58531868 0.03434507 0.03368173
 0.01979451 0.01455058 0.03363322 0.0343451 ]",0.5853401222266257,0.11175383553630344,0.37130010413474945,3.356253728530096e-05
20,"[0.06799909 0.58533834 0.03434509 0.03363959 0.03434511 0.03366056
 0.03434508 0.13856618 0.06797757 0.58531769 0.03434506 0.03368271
 0.03434511 0.03363315 0.0343451  0.13857392 0.06799548 0.06799165
 0.58534014 0.03434509 0.03364514 0.03434511 0.03365196 0.03434508
 0.13857283 0.067978   0.06803047 0.58531518 0.03434511 0.03363238
 0.03434511 0.13856778 0.06800374 0.06798577 0.58533898 0.03434508
 0.03365226 0.03434512 0.03364489 0.03434509 0.13857696 0.06798001
 0.0680185  0.58532587 0.02113641 0.01320867 0.0336332  0.03434511
 0.03368222 0.03434507 0.07053174 0.06801355 0.06798145 0.58533483
 0.03434507 0.03366091 0.03434511 0.03363939 0.0343451  0.13857851
 0.0679836  0.06800802 0.58533361 0.03434511 0.0336356  0.03434511
 0.03367061 0.03434507 0.07053217 0.06802483 0.06797871 0.58532773
 0.03434507 0.03367108 0.03434511 0.03363547 0.03434511 0.1385775
 0.06798877 0.06799904 0.58533839 0.03434509 0.0336396  0.03434511
 0.03366048 0.03434508 0.13856625 0.06797756 0.58531769 0.03434505
 0.03368275 0.03434511 0.03363311 0.03434511 0.13857393 0.06799549
 0.06799159 0.58534021 0.03434509 0.03364514 0.03434511 0.03365189
 0.03434509 0.13857293 0.06797798 0.06803038 0.58531532 0.03434511
 0.03363234 0.03434511 0.1385678  0.06800376 0.06798572 0.58533904
 0.03434509 0.03365226 0.03434511 0.03364483 0.03434509 0.13857705
 0.06797998 0.0680184  0.58532601 0.03434511 0.03363318 0.03434511
 0.03368213 0.03434506 0.07053188 0.06801356 0.06798139 0.58533491
 0.03434508 0.0336609  0.03434512 0.03363931 0.0343451  0.13857861]",0.5853402051143348,0.115504546870437,0.3730060336106243,3.319000825535305e-05
21,"[0.58532659 0.0343451  0.03363335 0.00509588 0.02924921 0.03368125
 0.03434506 0.07053191 0.0680144  0.06798118 0.58533436 0.03434507
 0.03366168 0.03434511 0.03363903 0.0343451  0.1385785  0.06798397
 0.06800725 0.58533409 0.0343451  0.03363588 0.03434511 0.03366975
 0.03434507 0.070532   0.06802582 0.06797856 0.58532701 0.03434507
 0.03367197 0.03434512 0.03363524 0.0343451  0.13857728 0.06798927
 0.0679984  0.58533861 0.03434509 0.03364    0.03434511 0.03365977
 0.03434507 0.13856685 0.06797755 0.5853167  0.03434506 0.03368378
 0.03434511 0.03363301 0.03434511 0.1385735  0.06799613 0.06799108
 0.58534017 0.03434509 0.03364569 0.03434512 0.03365128 0.03434508
 0.13857331 0.0679781  0.06802939 0.58531622 0.03434511 0.03363238
 0.03434511 0.13856717 0.06800451 0.06798533 0.58533877 0.03434508
 0.03365291 0.03434512 0.03364436 0.03434509 0.1385772  0.06798025
 0.06801753 0.58532666 0.03434511 0.03363334 0.01968161 0.01466348
 0.03368117 0.03434506 0.07053197 0.06801443 0.06798114 0.58533439
 0.03434507 0.0336617  0.03434512 0.03363898 0.03434509 0.13857856
 0.06798396 0.06800717 0.58533418 0.0343451  0.03363586 0.03434511
 0.03366967 0.03434507 0.07053208 0.06802586 0.06797852 0.58532705
 0.03434506 0.033672   0.03434511 0.03363519 0.03434509 0.13857733
 0.06798926 0.06799832 0.58533871 0.0343451  0.03363998 0.03434511
 0.03365968 0.03434508 0.13856696 0.06797749 0.58531675 0.03434506
 0.0336838  0.03434511 0.03363296 0.03434511 0.13857355 0.06799612
 0.06799102 0.58534028 0.03434508 0.03364568 0.03434511 0.0336512
 0.03434509 0.13857342 0.06797807]",0.5853402828797698,0.11304676665508366,0.37224193725416016,3.353925422092017e-05
22,"[3.43450592e-02 3.36847887e-02 2.74934433e-03 3.15957372e-02
 3.36329164e-02 3.92359309e-03 3.04214973e-02 1.38573086e-01
 6.79967417e-02 6.79905759e-02 5.85340153e-01 3.43450811e-02
 3.36462115e-02 3.43451113e-02 3.36506926e-02 3.43450853e-02
 1.38573708e-01 6.79782229e-02 6.80284011e-02 5.85317144e-01
 3.43451113e-02 3.36324079e-02 3.43451113e-02 1.38566523e-01
 6.80052699e-02 6.79849470e-02 5.85338480e-01 3.43450857e-02
 3.36535862e-02 1.95063767e-02 1.48387183e-02 3.36438776e-02
 3.43450941e-02 1.38577384e-01 6.79804925e-02 6.80166571e-02
 5.85327349e-01 3.43450978e-02 3.36335041e-02 3.43451104e-02
 3.36802038e-02 3.43450680e-02 7.05320770e-02 6.80153179e-02
 6.79808930e-02 5.85333842e-01 3.43450806e-02 3.36624929e-02
 3.43451113e-02 3.36386366e-02 3.43450978e-02 1.38578515e-01
 6.79843514e-02 6.80064261e-02 5.85334586e-01 3.43451067e-02
 3.36361770e-02 3.43451109e-02 3.36688254e-02 3.43450676e-02
 7.05318423e-02 6.80268533e-02 6.79784147e-02 5.85326258e-01
 3.43450680e-02 3.36729190e-02 3.43451109e-02 3.36349728e-02
 3.43450983e-02 1.38577071e-01 6.79897843e-02 6.79977033e-02
 5.85338875e-01 3.43450941e-02 3.36404135e-02 3.43451109e-02
 3.36589683e-02 3.43450722e-02 1.38567518e-01 6.79775150e-02
 5.85315727e-01 3.43450555e-02 3.36848446e-02 3.43451109e-02
 3.36328908e-02 3.43451072e-02 1.38573069e-01 6.79967687e-02
 6.79905144e-02 5.85340201e-01 3.43450857e-02 3.36462241e-02
 3.43451202e-02 3.36506190e-02 3.43450853e-02 1.38573759e-01
 6.79782066e-02 6.80283131e-02 5.85317262e-01 3.43451113e-02
 3.36323818e-02 3.43451072e-02 1.38566528e-01 6.80052913e-02
 6.79848818e-02 5.85338550e-01 3.43450811e-02 3.32057104e-02
 4.47877217e-04 3.43451072e-02 3.36438124e-02 3.43450983e-02
 1.38577463e-01 6.79804878e-02 6.80165701e-02 5.85327480e-01
 3.43450978e-02 3.36334640e-02 3.43451072e-02 3.36801121e-02
 3.43450592e-02 7.05321943e-02 6.80153402e-02 6.79808306e-02
 5.85333921e-01 3.43450811e-02 3.36625054e-02 3.43451207e-02
 3.36385746e-02 3.43450941e-02 1.38578584e-01 6.79843342e-02
 6.80063390e-02 5.85334725e-01 3.43450978e-02 3.36361364e-02
 3.43451207e-02 3.36687206e-02 3.43450722e-02 7.05319731e-02
 6.80268747e-02 6.79783537e-02]",0.5853402009233832,0.10860772760794826,0.3512537404421745,3.3504329624349005e-05
23,"[0.03434507 0.03366327 0.03434512 0.0336383  0.03434509 0.13857848
 0.06798474 0.06800567 0.58533503 0.0343451  0.03363646 0.03434512
 0.03366799 0.03434507 0.07053162 0.06802785 0.06797829 0.5853255
 0.03434507 0.03367383 0.03434511 0.03363476 0.0343451  0.13857683
 0.06799029 0.06799708 0.58533907 0.03434509 0.03364084 0.03434511
 0.03365826 0.03434508 0.13856809 0.06797753 0.58531471 0.03434506
 0.03368587 0.03434511 0.0336328  0.03434511 0.13857262 0.06799741
 0.06799002 0.58534014 0.03434508 0.03364679 0.03434511 0.03365003
 0.03434508 0.13857412 0.06797835 0.06802733 0.58531814 0.03434511
 0.03363243 0.03434511 0.13856585 0.06800606 0.06798453 0.58533822
 0.03434509 0.03365428 0.03434511 0.03364337 0.0343451  0.1385776
 0.06798075 0.06801572 0.5853281  0.03434511 0.03363365 0.03434511
 0.03367916 0.03434507 0.07053225 0.06801623 0.0679806  0.58533335
 0.03434507 0.03366331 0.03434511 0.03363826 0.0343451  0.13857851
 0.06798475 0.0680056  0.58533511 0.03434509 0.03363645 0.03434511
 0.03366791 0.03434508 0.07053167 0.0680279  0.06797826 0.58532552
 0.03434506 0.03367387 0.03434511 0.03363472 0.03434509 0.13857688
 0.06799029 0.06799702 0.58533916 0.0343451  0.03364083 0.03434511
 0.03365818 0.03434508 0.1385682  0.06797749 0.58531475 0.03434506
 0.03368591 0.03434511 0.03363276 0.03434511 0.13857266 0.06799741
 0.06798996 0.58534023 0.03434508 0.03364677 0.03434512 0.03364995
 0.03434509 0.13857423 0.06797833 0.06802723 0.58531832 0.03434511
 0.03363238 0.03434511 0.1385659  0.06800607 0.06798445]",0.5853402311913669,0.11257140010758473,0.3519160203587075,3.2840762289930584e-05
